a life of vice;ein lasterhaftes Leben
audacity;Verwegenheit, Mut
beyond doubt;zweifellos
butt;Hintern
butt out;Halt dich raus
cab;Taxi, Kabine
conspiracy;Verschwörung, Komplott
cruel;grausam
daring;frech, gewagt, tapfer, tollkühn
dashing;flott, stürmisch
destiny;Schicksal
disgusting;ekelhaft
doubted;bezweifelt
eager;eifrig
ease;Leichtigkeit, Bequemlichkeit
favor;Gefallen, Gunst
fits of hysteria;Anfälle von Hysterie
headway;Fortschritt
indegestion;Magenverstimmung
laundry;Wäsche
least;das Letzte, das Mindeste
lobster;Hummer
mace;Keule
murder;Mord
murderer;Mörder
narration;Erzählung
obsessed by;besessen von
rapist;Vergewaltiger, Frauenschänder
skin flick;Pornofilm
snake, queue;Schlange
stuffed;vollgestopft, vollgefressen
submissive;demütig, devot
submissive to;gehorsam gegenüber, unterwürfig gegenüber
to assert;behaupten, beteuern
to boil;kochen
to break in;einbrechen
to deserve;verdienen
to ease;lindern, erleichtern
to estimate;bewerten
to exploit;ausnutzen, nutzen, ausbeuten
to flick;schnipsen, schnippen, wegschnipsen
to impose somebody on something;jemandem etwas aufdrängen
to make headway;vorankommen, weiterkommen
to murder;ermorden
to poke;stoßen, stechen, stöbern
to promise;versprechen
to provide;liefern, anbieten
to recognize;erkennen, anerkennen, wiedererkennen
to serve;bedienen, servieren
to wipe;wegwischen
to wipe out;beseitigen
torturer;Folterknecht, Peiniger
vice;Vize, Laster, Untugend
whether, if;ob
wimp;Feigling, Weichei, Warmduscher